start_time_yr,start_time_mo,start_time_dt,start_time_hr,start_time_mn,start_time_sc,start_time_ms,meal_type,calorie,update_time_yr,update_time_mo,update_time_dt,update_time_hr,update_time_mn,update_time_sc,update_time_ms,amount,pkg_name,time_offset,name,comment,unit,custom,create_time_yr,create_time_mo,create_time_dt,create_time_hr,create_time_mn,create_time_sc,create_time_ms,food_info_id
2018,7,8,16,0,0,852,100002,203,2018,7,8,21,12,36,335,1,com.sec.android.app.shealth,UTC-0400,Roasted Potato,NA,120001,NA,2018,7,8,21,11,30,425,457849ac-8095-40ca-8f98-832d8d79124f
2018,6,28,16,0,0,0,100002,25,2018,6,29,1,11,23,633,1,com.sec.android.app.shealth,UTC-0400,Cauliflower,NA,120001,NA,2018,6,29,1,11,23,633,112ab6ad-4f6b-4111-83c8-fa9c53e6d04c
2018,7,19,12,0,0,0,100001,134,2018,7,19,21,26,52,8,1,com.sec.android.app.shealth,UTC-0400,Baked Sweetpotato (Peel Not Eaten),NA,120001,NA,2018,7,19,21,26,52,8,e0a672d3-d7be-49bf-85ec-cb89cf840e35
2018,6,29,22,0,0,219,100003,74,2018,6,30,15,29,5,997,1,com.sec.android.app.shealth,UTC-0400,Pineapple,NA,120001,NA,2018,6,30,15,28,3,630,6835060c-2197-428c-ab62-f8e16e8c34ea
2018,6,30,23,37,13,909,100003,185,2018,6,30,23,42,34,571,1,com.sec.android.app.shealth,UTC-0400,Walnuts,NA,120001,NA,2018,6,30,23,42,34,571,012ced96-262a-45f5-afd7-5f9adcd12e59
2018,6,30,23,37,13,909,100003,9,2018,6,30,23,42,34,571,1,com.sec.android.app.shealth,UTC-0400,Mixed Salad Greens,NA,120001,NA,2018,6,30,23,42,34,571,590406d0-c0bf-4485-8313-274c4f09a7fd
2018,6,23,22,0,0,511,100003,41,2018,6,24,16,3,26,107,0.5,com.sec.android.app.shealth,UTC-0400,Blueberries,NA,120001,NA,2018,6,24,15,58,27,625,85e1291b-43ec-4b34-ac0a-6605b6e6ef10
2018,7,7,16,0,0,871,100002,360,2018,7,8,21,22,44,87,3,com.sec.android.app.shealth,UTC-0400,Seitan(WestSoy),NA,120001,NA,2018,7,8,21,22,44,87,4a57656b-5613-40fa-a1d3-96bbd1b318e4
2018,7,10,23,24,30,116,100003,11,2018,7,10,23,26,13,753,0.5,com.sec.android.app.shealth,UTC-0400,Tomatoes,NA,120001,NA,2018,7,10,23,26,13,753,85161aed-7e85-4eef-bf5d-839008caa7cd
2018,7,9,13,7,57,646,100001,59.4,2018,7,9,13,10,32,691,0.3,com.sec.android.app.shealth,UTC-0400,Barley (Cooked),NA,120001,NA,2018,7,9,13,10,32,691,5ea385c2-c246-4429-a754-d090bf163584
2018,6,22,19,35,46,547,100003,67,2018,6,23,15,15,53,380,0.5,com.sec.android.app.shealth,UTC-0400,Mango,NA,120001,NA,2018,6,22,19,36,7,914,52617a49-e99b-4808-8778-c009c352b30c
2018,6,25,17,22,49,896,100002,61.6,2018,6,25,18,29,2,898,0.8,com.sec.android.app.shealth,UTC-0400,Cooked Mushrooms (from Fresh),NA,120001,NA,2018,6,25,18,29,2,898,f5c6db36-1b71-4e71-8b60-f9f54b95d4a3
2018,7,8,22,32,31,704,100006,41,2018,7,9,0,41,21,591,0.5,com.sec.android.app.shealth,UTC-0400,Blueberries,NA,120001,NA,2018,7,8,22,32,42,493,85e1291b-43ec-4b34-ac0a-6605b6e6ef10
2018,7,11,22,0,0,0,100003,26,2018,7,12,13,7,22,959,0.5,com.sec.android.app.shealth,UTC-0400,Oyster Mushroom,NA,120001,NA,2018,7,12,13,7,22,959,5133b820-42d0-4c78-ad0c-6852faff8457
2018,6,14,16,3,37,445,100002,21,2018,6,14,16,5,22,804,1,com.sec.android.app.shealth,UTC-0400,Barbecue Sauce,NA,120001,NA,2018,6,14,14,21,19,677,c06c19dd-ac35-44f0-a8b0-0718c206e9d3
2018,7,4,19,0,0,0,100005,165,2018,7,5,0,18,35,261,1,com.sec.android.app.shealth,UTC-0400,Dry Roasted Sunflower Seeds (with Salt Added),NA,120001,NA,2018,7,5,0,18,35,261,b754a740-87d2-44ed-9bfe-1b01410c7439
2018,7,11,22,0,0,0,100003,60,2018,7,12,13,7,22,960,0.5,com.sec.android.app.shealth,UTC-0400,Canola Oil(Great Value),NA,120001,NA,2018,7,12,13,7,22,960,4321a213-c81d-475b-9cb6-f16b96f170c2
2018,6,15,0,57,14,588,100003,202,2018,6,15,1,48,32,912,1.4,com.sec.android.app.shealth,UTC-0400,Mango,NA,120001,NA,2018,6,15,0,58,10,81,52617a49-e99b-4808-8778-c009c352b30c
2018,6,18,21,55,12,37,100005,140,2018,6,18,21,58,22,88,2,com.sec.android.app.shealth,UTC-0400,Peeled & Cooked Chestnuts(Trader Joe's),NA,120001,NA,2018,6,18,21,56,14,336,b1359953-4497-440e-9edb-ac6308a4dfd6
2018,6,17,22,0,0,0,100003,322,2018,6,18,14,26,19,78,2,com.sec.android.app.shealth,UTC-0400,Oriental Rice Dumpling - Original(Kawan Food),NA,120001,NA,2018,6,18,14,26,19,78,e310326b-69e4-438f-924b-f7412f547635
2018,7,10,23,24,30,116,100003,388,2018,7,10,23,26,13,752,2,com.sec.android.app.shealth,UTC-0400,Baked Potato (Peel Eaten),NA,120001,NA,2018,7,10,23,26,13,752,5e31f067-057c-4bd4-bcc7-52c7f0639450
2018,7,18,22,0,0,0,100003,480,2018,7,19,21,30,2,481,2,com.sec.android.app.shealth,UTC-0400,Scallion Pancake(IMEI),NA,120001,NA,2018,7,19,21,30,2,481,caa3253d-d33a-461a-9d21-7fe718a1e73a
2018,7,12,22,0,0,650,100003,280,2018,7,13,20,58,26,234,4,com.sec.android.app.shealth,UTC-0400,Sweet Potato Noodles(Whole Foods Market),NA,120001,NA,2018,7,13,20,58,26,234,c7feeeee-0cb8-4437-b99b-e6c68f990d7a
